player_name,goal_count,country_name
"Antoine Griezmann",5,France
Nani,3,Portugal
"Cristiano Ronaldo",3,Portugal
"Alvaro Morata",3,Spain
"Olivier Giroud",3,France
"Bogdan Stancu",2,Romania
"Robbie Brady",2,"Republic of Ireland"
"Radja Nainggolan",2,Belgium
"Romelu Lukaku",2,Belgium
"Jakub Blaszczykowski",2,Poland
"Gareth McAuley",2,"Northern Ireland"
"Ivan PeriSic",2,Croatia
"Kolbeinn Sigthorsson",2,Iceland
"Birkir Bjarnason",2,Iceland
"Balazs Dzsudzsak",2,Hungary
"Mario Gomez",2,Germany
"Dimitri Payet",2,France
"Zoltan Gera",1,Hungary
"Armando Sadiku",1,Albania
"Jamie Vardy",1,England
"Wayne Rooney",1,England
"Paul Pogba",1,France
"Mesut ozil",1,Germany
"Julian Draxler",1,Germany
"Thomas Muller",1,Germany
"Jerome Boateng",1,Germany
"Milan Skoda",1,"Czech Republic"
TomasNecid,1,"Czech Republic"
"Adam Szalai",1,Hungary
"Nikola Kalinic",1,Croatia
"Zoltan Stieber",1,Hungary
"Birkir Saevarsson",1,Iceland
"Luka Modric",1,Croatia
"Ivan Rakitic",1,Croatia
"Gylfi Sigurdsson",1,Iceland
"Jon Dadi Bodvarsson",1,Iceland
"Arnor Ingvi Traustason",1,Iceland
"Giorgio Chiellini",1,Italy
Eder,1,Italy
"Leonardo Bonucci",1,Italy
"Emanuele Giaccherini",1,Italy
"Michy Batshuayi",1,Belgium
"Arkadiusz Milik",1,Poland
"Robert Lewandowski",1,Poland
"Yannick Carrasco",1,Belgium
"Eden Hazard",1,Belgium
"Renato Sanches",1,Portugal
"Axel Witsel",1,Belgium
"Ciaran Clark",1,"Republic of Ireland"
"Toby Alderweireld",1,Belgium
"Wes Hoolahan",1,"Republic of Ireland"
"Alessandro Schopf",1,Austria
"Denis Glushakov",1,Russia
"Vladimir Weiss",1,Slovakia
"Ondrej Duda",1,Slovakia
"Marek Hamsik",1,Slovakia
"Gerard Pique",1,Spain
"Eric Dier",1,England
